name,description,only in conflict,privacy level,severity,time to impact,military capacity_self,military capacity_other,gdp_self,gdp_other,trade_self,trade_other,resource availability_self,resource availability_other,political stability_self,political stability_other,population_self,population_other,soft power_self,soft power_other,cybersecurity_self,cybersecurity_other
Nuclear Strike,"Executing a nuclear strike results in cataclysmic immediate harm, decimating the military capacities, economies, and political stability of both involved nations, with the targeted one experiencing greater devastation; retaliation would be almost inevitable, predominantly with extreme military and diplomatic responses.",FALSE,Public,Extreme,0,-3,-7,-5%,-10%,-5,-10,-5,-10,-5,-10,0,-60%,-7,-9,3,-4
Full on Invasion,"Launching a full-on invasion wreaks immediate and severe havoc, deteriorating military capacities, economies, and political stability significantly for both nations involved, with the targeted one suffering more substantially; this action would almost certainly incite substantial military and diplomatic retaliation.",FALSE,Public,Extreme,0,-5,-8,-8%,-15%,-7,-10,-6,-10,-6,-10,0,-2%,-8,-9,-1,-5
Targeted Attack,"Conducting a targeted attack inflicts immediate and moderate harm, damaging the military capacities and economies of both nations involved, with the targeted nation facing greater consequences; this would likely invite military and potentially diplomatic retaliation.",FALSE,Public,Moderate,0,-2,-3,-1%,-3%,-2,-3,-2,-3,-1,-3,0,-1%,-3,-4,1,-2
Supplying Weapons to Others,"Supplying weapons to other entities moderately harms the adversaries of the recipient and enhances the recipient's military capacity; retaliation could manifest through military and diplomatic channels, especially from the affected adversaries.",FALSE,Public,Moderate,1,1,-2,-1%,-2%,0,-1,0,-1,0,-2,0,0,-2,-3,0,0
Cybersecurity Attack,"Launching a cybersecurity attack induces moderate harm to the targeted country, potentially undermining its military capacity, economic performance, and political stability, and is likely to elicit retaliatory cybersecurity attacks and potentially other forms of retaliation once the attacked country finds out about the action.",FALSE,Private,Moderate,0,0,-2,0%,-2%,0,-1,0,-1,0,-2,0,0,-1,-2,2,-3
Trade Restrictions,"Imposing trade restrictions induces moderate economic harm to both countries involved and may provoke economic or diplomatic retaliation, possibly impacting international trade relationships adversely.",FALSE,Public,Moderate,0,0,0,-2%,-3%,-3,-4,-1,-2,0,0,0,0,-2,-3,0,0
Cutting Diplomatic Relationships,"Severing diplomatic relationships results in moderate harm, mainly impacting political stability, and may cause diplomatic retaliation.",FALSE,Public,Moderate,0,0,0,0%,0%,0,0,0,0,-1,-1,0,0,-3,-3,0,0
Defensive Action,"Taking defensive action generally fortifies one's own military capacity while undermining the adversary’s; it can elicit military or diplomatic retaliation, contingent on the context and intensity of the actions undertaken.",TRUE,Public,Moderate,0,2,-2,0%,0%,0,0,1,-1,0,-1,0,-0.50%,0,-1,1,-1
Advocacy and criticism of a country's actions,"Publicly advocating or criticizing a country's actions could diminish political stability and might instigate diplomatic retaliation, potentially straining international relations.",FALSE,Public,Conservative,0,0,0,0%,0%,0,0,0,0,-1,-1,0,0,-1,-1,0,0
Military Posturing or Military Exercise,Engaging in military posturing or exercises may intimidate or unsettle other countries and can lead to decreased political stability and incite diplomatic retaliation.,FALSE,Public,Conservative,0,1,0,0%,0%,0,0,0,0,0,-1,0,0,0,-1,0,0
Forming alliance,Forming alliances can amplify the military capacity of the involved entities and might prompt the establishment of opposing alliances as a countermeasure.,FALSE,Public,Conservative,1,2,0,0%,0%,1,0,1,0,1,0,0,0,2,0,0,0
Negotiation in an attempt to find diplomatic solution,"Negotiating to find a diplomatic solution generally enhances relations, economies, and political stability and is unlikely to provoke retaliation, fostering international cooperation.",FALSE,Public or Private,Conservative,1,0,0,1%,1%,0,0,1,1,1,1,0,0,2,2,0,0
International arbitration,"Seeking international arbitration generally maintains or ameliorates relations and is not likely to provoke retaliation, supporting peaceful conflict resolution.",TRUE,Public,Conservative,2,0,0,0%,0%,0,0,0,0,1,1,0,0,1,1,0,0
Negotiate trade agreement with other country,"Negotiating trade agreements generally fosters economic development for the involved countries and is unlikely to provoke retaliation, promoting mutual economic benefits.",FALSE,Public,Peaceful,2,0,0,2%,2%,2,2,2,2,0,0,0,0,2,2,0,0
Set up cultural exchanges & educational partnerships,"Setting up cultural exchanges & educational partnerships generally fosters soft power and is unlikely to provoke retaliation, enriching cultural understanding and cooperation.",FALSE,Public,Peaceful,2,0,0,1%,1%,0,0,0,0,1,1,0,0,2,2,0,0
Establish agreements on defense and security cooperation,Establishing agreements on defense and security cooperation generally reinforces military capacity and political stability and may provoke the formation of opposing alliances or other forms of retaliation.,FALSE,Public or Private,Peaceful,1,2,0,0%,0%,0,0,1,0,0,0,0,0,1,0,1,0
Share intelligence on threats with other country,"Sharing intelligence on threats generally enhances the recipient’s military capacity and political stability and is unlikely to incite retaliation, bolstering collaborative security efforts.",FALSE,Private,Peaceful,0,1,0,0%,0%,0,0,1,0,0,0,0,0,1,0,2,0
Engage in joint research projects,"Engaging in joint research projects generally benefits all involved parties and is unlikely to incite retaliation, encouraging scientific collaboration and advancement.",FALSE,Public,Peaceful,2,0,0,1%,1%,0,0,1,1,0,0,0,0,1,1,1,0
Participating in international organizations,"Participating in international organizations generally ameliorates international relations and political stability and is unlikely to incite retaliation, supporting multilateral cooperation.",FALSE,Public,Peaceful,1,0,0,0%,0%,0,0,0,0,1,1,0,0,1,1,0,0
High-Level visit of country to strengthen relationship,"Conducting high-level visits to strengthen relationships generally augments soft power and political stability and is unlikely to provoke retaliation, fostering international goodwill.",FALSE,Public,Peaceful,0,0,0,1%,1%,0,0,0,0,1,1,0,0,2,2,0,0
Disarmament,"Engaging in disarmament generally promotes political stability and soft power and is unlikely to provoke retaliation, contributing to global peace and security.",FALSE,Public,Peaceful,1,-3,0,2%,2%,1,1,2,2,2,1,0,0,3,3,0,0
Message,"Sending a message to another country is typically a neutral action and does not usually provoke retaliation, facilitating communication between nations. Private if target_nation is a nation, public if target_nation is ""World."" Requires content.",FALSE,Public,Peaceful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait,"Choosing to wait generally maintains the status quo and does not provoke retaliation, allowing time for reflection and assessment.",FALSE,Private,No Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0