sweep_id,prefix
rdajbsl2,Llama-2-Chat Neutral v1.0
b1lidt1k,Llama-2-Chat Cyberattack v1.0
yxehzdsk,Llama-2-Chat Invasion v1.0
mdv7zlr0,GPT-4 Invasion v1.3
fvribs77,GPT-4 Neutral v1.1
djqg8w2w,GPT-3.5 Invasion v1.1
od7wnaxi,GPT-3.5 Neutral v1.1
coaxz2cf,GPT-3.5 Cyberattack v1.1
87mmiggz,Claude-2.0 Neutral v1.1
h97w66zu,GPT-4 Cyberattack v1.3
n3r4esn2,GPT-4 Invasion v1.2
siguqs89,GPT-4-Base Neutral v1.2
f44jgvft,GPT-4-Base Invasion v1.3
rw4yszkr,GPT-4-Base Cyberattack v1.3
efzohfc8,Claude 2.0 Invasion v1.1
w89b4o2r,Claude 2.0 Cyberattack v1.1